REF_NO,children,age_band,status,occupation,occupation_partner,home_status,family_income,self_employed,self_employed_partner,year_last_moved,TVarea,post_code,post_area,Average_Credit_Card_Transaction,Balance_Transfer,Term_Deposit,Life_Insurance,Medical_Insurance,Average_A/C_Balance,Personal_Loan,Investment_in_Mutual_Fund,Investment_Tax_Saving_Bond,Home_Loan,Online_Purchase_Amount,gender,region,Investment_in_Commudity,Investment_in_Equity,Investment_in_Derivative,Portfolio_Balance,Revenue_Grid
3599,Zero,45-50,Partner,Professional,Other,Own Home,"<10,000, >= 8,000",No,No,1972,Carlton,CR7 8HG,CR7,0.0,72.46,42.97,69.98,28.98,34.99,52.86,0.0,0.0,0.0,0.0,Female,South East,42.88,14.64,31.14,87.78,2
10569,1,26-30,Partner,Secretarial/Admin,Housewife,Own Home,"<17,500, >=15,000",No,No,1996,Meridian,M30 4QQ,M30,0.0,0.0,0.0,86.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,North West,17.4,0.0,14.5,66.65,2
8820,3,45-50,Partner,Professional,Business Manager,Own Home,"<30,000, >=27,500",Yes,No,1988,Tyne Tees,DL11 6AW,DL11,0.0,0.0,58.47,193.88,50.45,5.99,10.97,36.97,0.0,7.18,11.98,Male,Unknown,60.56,12.18,49.71,156.06,2
8580,2,36-40,Partner,Housewife,Business Manager,Own Home,"<20,000, >=17,500",No,Yes,1996,Central,OX6 8LT,OX6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.47,0.0,0.0,0.0,Female,South East,0.0,4.91,4.91,-13.99,2
7313,2,45-50,Partner,Professional,Professional,Own Home,">=35,000",No,No,1996,Anglia,MK5 7ET,MK5,0.0,126.39,24.49,416.21,19.48,6.98,0.0,61.45,29.99,0.0,0.0,Female,South East,117.31,16.4,89.02,201.59,1
11056,1,31-35,Partner,Housewife,Professional,Rent Privately,">=35,000",No,No,1994,Anglia,LU6 2DF,LU6,0.0,55.53,20.49,19.45,44.44,26.04,24.97,9.49,2.0,0.0,0.0,Female,South East,27.98,10.42,21.07,70.55,2
2450,3,26-30,Partner,Other,Manual Worker,Own Home,"<25,000, >=22,500",No,No,1988,Granada,WA5 1XU,WA5,0.0,0.03,0.0,192.85,0.0,71.97,0.0,48.43,0.0,0.0,0.0,Female,North West,38.58,20.07,52.21,132.89,2
8709,2,31-35,Partner,Housewife,Manual Worker,Own Home,"<17,500, >=15,000",No,Yes,1914,Central,NG12 2JW,NG12,297.39,93.89,34.49,126.39,41.44,67.47,19.99,139.92,0.0,0.0,20.98,Female,East Midlands,118.72,41.39,65.87,262.28,1
9195,3,41-45,Partner,Secretarial/Admin,Unknown,Own Home,"<30,000, >=27,500",No,Yes,1994,Ulster,BT41 3QS,BT41,0.0,0.51,34.48,237.91,0.0,10.97,7.49,7.97,1.0,0.0,0.0,Female,Northern Ireland,54.58,4.57,44.22,111.84,1
2715,2,45-50,Partner,Manual Worker,Manual Worker,Own Home,"<25,000, >=22,500",No,No,1997,Granada,WA8 9WH,WA8,0.0,49.99,14.99,41.47,0.0,0.0,0.0,61.36,11.45,0.0,0.0,Female,North West,21.29,12.14,19.05,92.31,2
2950,Zero,55-60,Partner,Retired,Other,Own Home,"<10,000, >= 8,000",No,No,1994,HTV,CF37 2ER,CF37,0.0,0.0,24.49,50.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,Wales,14.99,0.0,8.41,110.59,2
1860,2,36-40,Divorced/Separated,Business Manager,Unknown,Own Home,"<22,500, >=20,000",No,No,1996,Granada,CW12 1SB,CW12,0.0,41.98,0.0,150.44,15.97,124.88,0.0,65.45,4.98,34.62,0.0,Male,North West,41.68,38.32,60.29,185.62,2
6886,1,36-40,Partner,Professional,Professional,Own Home,"<15,000, >=12,500",No,No,1986,Anglia,CO10 2AQ,CO10,0.0,78.97,0.0,0.0,0.0,23.46,0.0,47.97,0.0,0.0,0.0,Female,East Anglia,15.79,11.91,11.91,38.81,2
2626,1,45-50,Partner,Secretarial/Admin,Professional,Rent from Council/HA,">=35,000",No,Yes,1998,Carlton,M5 6ES,M5,110.17,34.46,56.34,386.78,31.49,66.96,16.99,26.44,24.97,0.0,126.42,Female,North West,123.85,43.63,92.27,315.72,1
5914,Zero,55-60,Partner,Housewife,Professional,Own Home,"<30,000, >=27,500",No,Yes,1978,Meridian,L4 9PH,L4,39.98,39.96,150.92,223.85,265.84,75.92,0.0,50.37,19.99,0.0,0.0,Female,North West,144.11,24.38,106.0,209.21,2
174,Zero,65-70,Partner,Retired,Retired,Own Home,"<10,000, >= 8,000",No,No,1987,Meridian,M31 1BJ,M31,0.0,25.98,19.99,83.45,0.0,24.98,0.0,44.99,0.0,0.0,169.45,Female,North West,25.88,39.9,25.57,122.2,1
7207,Zero,55-60,Partner,Housewife,Retired,Rent from Council/HA,"< 4,000",No,No,1969,Carlton,N15 3DS,N15,0.0,0.0,24.99,29.48,19.48,5.49,0.0,41.97,0.0,0.0,0.0,Female,South East,14.79,7.91,16.07,27.77,2
7883,2,36-40,Partner,Professional,Professional,Own Home,"<30,000, >=27,500",No,No,1987,Granada,PR4 6HH,PR4,0.0,22.97,0.0,140.93,0.0,0.01,0.0,10.0,0.0,0.0,0.0,Female,North West,32.78,1.67,25.16,100.57,2
3816,3,31-35,Partner,Professional,Professional,Rent Privately,">=35,000",No,No,1996,Meridian,M3 8BA,M3,29.98,17.99,0.0,123.41,7.48,61.97,17.48,0.0,9.0,0.0,0.0,Female,North West,35.77,14.74,36.56,85.76,2
7847,Zero,22-25,Single/Never Married,Professional,Professional,Own Home,"<30,000, >=27,500",No,No,1991,Central,DE11 9SL,DE11,39.48,21.99,20.49,95.45,22.97,100.44,0.0,4.99,7.99,22.77,0.0,Male,East Midlands,40.08,22.7,38.64,94.69,2
3293,Zero,26-30,Single/Never Married,Secretarial/Admin,Manual Worker,Own Home,">=35,000",No,No,1998,Carlton,WA11 9HT,WA11,0.0,0.0,49.48,36.47,0.0,0.0,0.0,13.99,9.98,19.48,0.0,Female,North West,17.19,7.24,10.07,90.68,2
3886,Zero,55-60,Partner,Unknown,Secretarial/Admin,Own Home,"<27,500, >=25,000",No,No,1985,Carlton,SM6 9DT,SM6,0.0,0.0,0.0,0.0,14.99,0.0,0.0,70.45,0.0,0.0,0.0,Female,South East,3.0,11.74,14.24,18.57,2
8383,Zero,22-25,Partner,Business Manager,Professional,Unclassified,"<30,000, >=27,500",No,No,1999,Yorkshire,S80 3BP,S80,0.0,14.99,0.0,42.96,0.0,14.99,0.0,0.0,0.0,0.0,0.0,Female,East Midlands,11.59,2.5,9.66,50.1,2
6060,Zero,41-45,Partner,Unknown,Professional,Own Home,">=35,000",Yes,No,1993,Yorkshire,S26 4UN,S26,0.0,0.0,0.0,0.0,9.99,0.0,201.87,21.48,29.49,0.0,0.0,Female,Unknown,2.0,42.14,43.81,54.72,2
6092,Zero,51-55,Partner,Professional,Professional,Own Home,">=35,000",No,No,1982,Central,SY4 3NT,SY4,0.0,0.0,0.0,0.0,0.0,0.0,5.99,0.0,17.98,0.0,0.0,Female,West Midlands,0.0,4.0,4.0,-29.31,2
4288,2,26-30,Partner,Secretarial/Admin,Professional,Own Home,"<30,000, >=27,500",No,No,1988,Central,NG5 4LL,NG5,0.0,0.0,21.99,0.0,59.52,7.98,5.99,9.49,19.99,0.0,0.0,Female,East Midlands,16.3,7.24,17.16,-11.68,2
4947,2,36-40,Partner,Professional,Housewife,Own Home,"<22,500, >=20,000",No,No,1987,Yorkshire,DN15 9BD,DN15,53.46,130.45,24.99,417.31,48.44,68.45,0.0,133.4,0.0,0.0,0.0,Male,Unknown,134.93,33.64,111.27,231.5,1
5140,1,45-50,Partner,Other,Business Manager,Own Home,"<27,500, >=25,000",No,No,1980,Ulster,BT26 6QE,BT26,22.98,0.0,0.0,0.0,11.47,24.99,168.03,19.19,12.48,10.72,0.0,Female,Northern Ireland,6.89,39.24,39.36,34.75,2
6484,2,45-50,Partner,Professional,Housewife,Own Home,">=35,000",Yes,Yes,1979,Carlton,GU4 7EN,GU4,50.96,82.96,0.0,215.65,54.97,163.29,214.83,98.42,23.48,0.0,2.99,Male,South East,80.91,83.84,128.44,298.8,2
4417,Zero,71+,Partner,Unknown,Unknown,Rent from Council/HA,"< 8,000, >= 4,000",No,No,1965,Tyne Tees,NE10 8TS,NE10,0.0,49.98,29.99,20.99,34.49,0.0,0.0,49.47,0.0,0.0,0.0,Male,North,27.09,8.25,17.49,28.32,2
10652,Zero,26-30,Single/Never Married,Professional,Secretarial/Admin,Own Home,"<20,000, >=17,500",No,No,1996,Central,LE67 5AZ,LE67,0.0,159.96,0.0,170.42,0.0,80.44,82.92,366.67,42.99,23.94,6.49,Female,East Midlands,66.08,100.58,123.91,252.55,2
9171,Zero,55-60,Partner,Unknown,Unknown,Own Home,"<30,000, >=27,500",Yes,Yes,1986,Carlton,WD6 5NX,WD6,0.0,89.99,0.0,0.0,0.0,3.98,19.98,198.3,3.0,3.23,0.0,Male,South East,18.0,38.08,37.54,64.02,2
8416,Zero,36-40,Partner,Professional,Professional,Own Home,">=35,000",No,No,1996,Meridian,CT4 7BS,CT4,243.94,0.0,0.0,0.0,0.0,0.0,0.0,15.48,0.0,0.0,0.0,Male,South East,48.79,2.58,2.58,86.23,1
6645,1,36-40,Divorced/Separated,Secretarial/Admin,Professional,Own Home,">=35,000",No,No,1998,Anglia,NR32 5LX,NR32,19.98,0.0,0.0,62.48,29.46,9.99,34.46,21.98,0.0,0.0,0.0,Female,East Anglia,22.38,11.07,26.4,42.77,2
2850,2,31-35,Partner,Secretarial/Admin,Manual Worker,Own Home,">=35,000",No,Yes,1991,Carlton,SM3 8RA,SM3,78.95,142.93,84.46,197.9,41.96,37.97,0.0,25.95,28.44,0.0,0.0,Female,South East,109.24,15.39,55.37,183.98,1
8898,Zero,55-60,Partner,Retired,Manual Worker,Own Home,"<15,000, >=12,500",No,Yes,1993,Tyne Tees,DL12 9PH,DL12,124.45,0.0,29.99,0.0,21.47,44.46,0.0,0.0,15.48,14.47,0.0,Female,North,35.18,12.4,13.57,13.84,2
10769,2,31-35,Partner,Professional,Secretarial/Admin,Own Home,"<22,500, >=20,000",No,No,1993,Central,LE7 2BE,LE7,252.43,44.99,24.99,27.99,39.98,11.49,0.0,0.0,0.0,0.0,0.0,Male,East Midlands,78.08,1.92,13.24,125.78,1
2711,Zero,71+,Divorced/Separated,Retired,Unknown,Own Home,Unknown,No,No,1996,TV South West,EX7 0RX,EX7,0.0,14.99,0.0,54.97,0.0,0.0,0.0,35.47,0.0,0.0,0.0,Female,South West,13.99,5.91,15.07,23.87,2
4819,1,36-40,Partner,Other,Business Manager,Own Home,">=35,000",No,No,1984,Scottish TV,EH26 0LE,EH26,0.0,0.0,0.0,0.0,19.99,0.0,0.0,24.48,0.0,0.0,0.0,Female,Scotland,4.0,4.08,7.41,-22.59,2
11019,Zero,61-65,Widowed,Retired,Unknown,Own Home,"<22,500, >=20,000",No,No,1970,HTV,BS31 1RQ,BS31,34.99,123.93,198.89,124.8,7.49,48.94,0.0,41.95,0.0,0.0,26.98,Male,South West,98.02,19.65,37.2,176.86,2
3942,1,31-35,Partner,Secretarial/Admin,Professional,Own Home,">=35,000",No,No,1991,Ulster,BT19 6AP,BT19,0.0,0.0,0.0,0.0,9.99,0.0,95.91,94.94,0.0,0.0,20.29,Female,Northern Ireland,2.0,35.19,33.47,4.81,2
5826,Zero,26-30,Divorced/Separated,Other,Unknown,Live in Parental Hom,"<30,000, >=27,500",No,No,1995,Carlton,GU10 1BN,GU10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,South East,0.0,0.0,0.0,35.44,2
6344,Zero,65-70,Partner,Retired,Housewife,Own Home,"<17,500, >=15,000",No,No,1985,Meridian,SO17 1GG,SO17,193.44,0.0,0.0,14.0,8.49,21.96,0.0,79.46,19.99,9.49,0.0,Male,South East,43.19,21.82,23.98,93.64,1
8436,Zero,65-70,Partner,Retired,Retired,Own Home,"<20,000, >=17,500",No,No,1935,Meridian,PO16 8NX,PO16,0.0,47.48,0.0,31.47,0.0,11.49,0.0,53.97,0.0,0.0,0.0,Male,South East,15.79,10.91,16.16,85.06,2
7183,Zero,51-55,Partner,Professional,Other,Own Home,"<20,000, >=17,500",No,No,1982,TV South West,EX39 5HZ,EX39,74.96,0.0,118.94,29.49,24.99,4.99,194.79,68.44,61.46,0.0,18.45,Female,South West,49.68,58.02,64.03,166.52,2
10889,2,41-45,Partner,Housewife,Unknown,Own Home,"<30,000, >=27,500",No,Yes,1988,Ulster,BT25 1QJ,BT25,15.99,0.0,0.0,60.97,19.99,112.44,9.49,99.43,28.47,32.42,242.41,Female,Northern Ireland,19.39,87.44,55.13,179.4,1
5300,1,26-30,Partner,Professional,Professional,Own Home,"<30,000, >=27,500",No,No,1992,Central,ST5 7SZ,ST5,11.48,39.97,9.49,65.97,2.29,26.47,89.4,146.52,9.49,21.97,0.0,Female,West Midlands,25.84,48.98,56.69,137.37,2
2918,1,26-30,Partner,Housewife,Manual Worker,Own Home,"<12,500, >=10,000",No,Yes,1995,Central,LE15 7HR,LE15,0.0,0.0,0.0,92.92,0.0,0.0,12.48,112.36,0.0,0.0,0.0,Female,East Midlands,18.58,20.81,36.29,47.63,2
6565,1,65-70,Widowed,Retired,Unknown,Own Home,"<20,000, >=17,500",No,No,1963,Grampian,AB42 2XY,AB42,0.0,0.0,19.98,0.0,0.0,0.0,0.0,88.88,14.98,0.0,0.0,Female,Scotland,4.0,17.31,17.31,17.09,2
964,Zero,45-50,Partner,Business Manager,Professional,Own Home,">=35,000",No,No,1995,HTV,TA7 8QU,TA7,0.0,0.0,0.0,42.98,0.0,11.98,14.99,41.47,0.0,0.0,0.0,Female,South West,8.6,11.41,18.57,7.41,2
3811,Zero,61-65,Single/Never Married,Manual Worker,Manual Worker,Own Home,"< 4,000",Yes,Yes,1979,HTV,SA18 2PP,SA18,81.96,90.45,18.98,11.49,11.98,0.0,0.0,81.44,0.0,0.0,0.0,Female,Wales,42.97,13.57,17.49,32.71,2
1066,2,36-40,Partner,Secretarial/Admin,Professional,Rent Privately,">=35,000",No,No,1990,Meridian,L22 5DU,L22,36.99,98.92,0.0,172.4,0.0,72.95,20.98,84.45,0.0,0.0,34.99,Female,North West,61.66,35.56,58.46,134.93,2
6953,Zero,45-50,Partner,Professional,Manual Worker,Rent Privately,"<25,000, >=22,500",No,No,1997,HTV,BS22 8PA,BS22,0.0,31.48,0.0,0.0,0.0,17.99,0.0,141.22,0.0,0.0,0.0,Female,South West,6.3,26.54,26.54,51.86,2
5982,Zero,51-55,Partner,Secretarial/Admin,Manual Worker,Own Home,"<20,000, >=17,500",No,Yes,1991,Tyne Tees,NE33 5AT,NE33,0.0,24.99,0.0,45.48,0.0,78.94,0.0,34.96,0.0,0.0,0.0,Female,North,14.09,18.98,26.56,61.32,2
10225,Zero,51-55,Partner,Professional,Professional,Own Home,">=35,000",No,No,1990,Ulster,BT27 5TT,BT27,0.0,85.97,0.0,0.0,3.49,58.96,2.99,115.94,1.0,0.0,0.0,Female,Northern Ireland,17.89,29.82,30.4,115.21,2
9924,Zero,41-45,Partner,Other,Business Manager,Own Home,">=35,000",No,No,1979,Yorkshire,NG19 8AZ,NG19,0.0,90.97,42.98,0.0,10.99,14.99,0.0,51.47,0.0,0.0,17.47,Female,East Midlands,28.99,13.99,12.91,73.58,2
6306,2,31-35,Partner,Business Manager,Professional,Own Home,"<27,500, >=25,000",No,Yes,1987,Central,PE10 9PE,PE10,0.01,64.48,29.98,43.45,0.0,17.99,113.83,28.95,3.0,0.0,4.99,Female,East Midlands,27.58,28.13,34.54,76.79,2
5168,2,36-40,Partner,Business Manager,Manual Worker,Own Home,"<15,000, >=12,500",Yes,Yes,1985,Meridian,CT18 8LP,CT18,0.01,83.66,1.6,64.36,9.0,46.41,0.0,74.9,0.0,9.46,2.98,Female,South East,31.73,22.29,32.45,71.45,2
11197,Zero,65-70,Widowed,Housewife,Unknown,Own Home,"<10,000, >= 8,000",No,No,1948,Granada,LL12 7BS,LL12,105.46,0.0,0.0,0.0,7.19,0.0,0.0,0.0,0.0,0.0,0.0,Female,Wales,22.53,0.0,1.2,31.72,2
850,1,45-50,Widowed,Housewife,Unknown,Own Home,"< 8,000, >= 4,000",No,No,1969,Central,CV32 7RA,CV32,0.0,76.97,0.0,42.48,0.0,1.99,37.98,0.0,0.0,0.0,0.0,Female,West Midlands,23.89,6.66,13.74,31.17,2
10834,1,45-50,Partner,Business Manager,Business Manager,Own Home,">=35,000",No,No,1984,Carlton,TW16 5PU,TW16,0.0,127.95,0.0,119.44,9.49,32.95,0.0,108.92,56.95,0.0,4.49,Female,South East,51.38,33.89,54.63,134.66,1
3022,Zero,55-60,Partner,Unknown,Retired,Own Home,"<17,500, >=15,000",No,No,1988,Yorkshire,BD8 0LY,BD8,0.0,0.0,0.0,64.97,0.0,9.98,0.0,79.44,0.0,0.0,0.0,Female,Unknown,12.99,14.9,25.73,65.01,2
4904,Zero,41-45,Divorced/Separated,Professional,Secretarial/Admin,Own Home,"<30,000, >=27,500",No,No,1996,Yorkshire,HU14 3JR,HU14,0.0,0.0,0.0,0.0,7.99,0.0,0.0,13.49,0.0,27.46,0.0,Male,Unknown,1.6,6.83,3.58,29.33,2
10645,Zero,71+,Widowed,Retired,Unknown,Own Home,"<12,500, >=10,000",No,No,1977,Meridian,PR7 9JS,PR7,0.0,14.49,0.0,0.0,0.0,0.0,0.0,27.99,0.0,0.0,0.0,Female,North West,2.9,4.67,4.67,-20.54,2
3612,2,45-50,Partner,Secretarial/Admin,Professional,Own Home,"<20,000, >=17,500",No,No,1986,Meridian,TN34 2QX,TN34,0.0,65.0,0.0,9.97,0.0,0.0,0.0,37.98,0.0,29.98,0.0,Female,South East,14.99,11.33,7.99,8.1,2
4149,Zero,71+,Widowed,Retired,Unknown,Own Home,"< 4,000",No,No,1991,Central,B90 4YS,B90,0.0,0.0,0.0,177.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,West Midlands,35.48,0.0,29.57,40.85,1
5241,Zero,41-45,Partner,Secretarial/Admin,Professional,Own Home,"<27,500, >=25,000",No,No,1988,Carlton,UB3 3PG,UB3,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,South East,19.0,0.0,0.0,59.24,2
9241,2,36-40,Partner,Professional,Manual Worker,Own Home,"<30,000, >=27,500",No,No,1999,Granada,PR2 1SA,PR2,13.99,0.0,38.96,134.94,34.41,35.46,35.98,120.42,36.97,16.47,14.47,Female,North West,44.46,43.3,66.36,153.35,2
7040,Zero,45-50,Partner,Housewife,Professional,Own Home,"<30,000, >=27,500",No,No,1975,Scottish TV,EH49 7AX,EH49,0.0,85.9,29.99,237.81,0.0,9.99,6.99,29.48,0.0,0.0,0.0,Female,Scotland,70.74,7.74,47.38,123.8,1
4683,Zero,51-55,Partner,Professional,Professional,Own Home,"<22,500, >=20,000",No,No,1971,Granada,M27 0JY,M27,0.0,0.0,0.0,70.47,0.0,3.49,0.0,0.0,0.0,0.0,0.0,Female,North West,14.09,0.58,12.33,71.77,2
6795,Zero,71+,Partner,Retired,Retired,Own Home,"<15,000, >=12,500",No,No,1988,Anglia,CO6 1QR,CO6,14.99,0.0,0.0,11.49,0.0,0.0,0.0,0.0,34.96,4.99,31.47,Male,South East,5.3,11.9,7.74,-59.24,1
2693,Zero,45-50,Partner,Retired,Retired,Own Home,"<20,000, >=17,500",No,No,1982,Carlton,SS16 6HH,SS16,0.0,24.99,0.0,57.97,0.0,4.99,0.0,0.0,0.0,0.0,78.98,Female,South East,16.59,14.0,10.49,50.13,1
3892,2,31-35,Partner,Housewife,Secretarial/Admin,Own Home,"<25,000, >=22,500",No,No,1992,Scottish TV,ML4 3NB,ML4,17.49,0.0,0.0,0.0,0.0,4.49,47.95,41.95,0.0,0.0,0.0,Female,Scotland,3.5,15.73,15.73,44.03,2
11409,Zero,41-45,Partner,Business Manager,Housewife,Own Home,"<25,000, >=22,500",No,No,1996,TV South West,DT3 6SN,DT3,0.0,23.51,0.0,64.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,Male,South West,17.7,0.0,10.83,-3.81,2
2354,Zero,71+,Partner,Professional,Housewife,Own Home,"< 8,000, >= 4,000",No,No,1982,Carlton,SM2 5JQ,SM2,0.0,115.91,20.0,200.89,0.0,136.42,0.0,0.0,0.0,0.0,0.0,Male,South East,67.36,22.74,56.22,168.57,2
621,3,36-40,Partner,Professional,Professional,Own Home,">=35,000",No,Yes,1985,Central,HR1 4AL,HR1,0.0,82.43,0.0,30.86,14.99,34.46,17.45,0.0,0.0,22.97,0.0,Female,West Midlands,25.66,12.48,16.29,60.72,2
5061,Zero,45-50,Divorced/Separated,Business Manager,Unknown,Own Home,"<17,500, >=15,000",No,No,1984,Central,GL51 6LQ,GL51,0.0,159.47,0.0,0.51,0.0,11.99,0.0,0.51,0.0,0.0,0.0,Female,South West,32.0,2.08,2.17,67.42,2
3215,1,26-30,Partner,Business Manager,Business Manager,Own Home,">=35,000",No,No,1994,Carlton,PR6 3PE,PR6,0.0,27.98,25.0,27.99,0.0,0.0,84.94,11.49,0.0,0.0,0.0,Female,North West,16.19,16.07,20.74,59.25,2
10801,2,36-40,Divorced/Separated,Professional,Unknown,Own Home,"<25,000, >=22,500",No,No,1998,HTV,LL61 5QD,LL61,69.47,0.0,0.0,23.47,0.0,0.0,34.97,35.46,0.0,0.0,7.99,Unknown,Wales,18.59,13.07,15.65,42.72,2
10119,1,31-35,Partner,Business Manager,Secretarial/Admin,Own Home,">=35,000",No,No,1994,Carlton,L14 4RL,L14,0.0,29.49,35.98,0.51,9.51,0.0,32.48,38.44,0.0,0.0,0.0,Male,North West,15.1,11.82,13.49,24.76,2
10380,Zero,71+,Partner,Retired,Retired,Own Home,"<17,500, >=15,000",No,No,1988,HTV,LL15 2PJ,LL15,44.49,7.99,0.0,17.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,Wales,14.09,0.0,2.99,-16.83,2
2917,2,41-45,Partner,Secretarial/Admin,Professional,Own Home,"<30,000, >=27,500",No,No,1981,Yorkshire,NG19 0EL,NG19,0.0,0.0,0.0,59.48,19.47,58.97,0.0,104.93,0.0,0.0,0.0,Female,East Midlands,15.79,27.32,40.48,81.95,2
7141,2,26-30,Single/Never Married,Unknown,Unknown,Own Home,"<30,000, >=27,500",No,No,0,Yorkshire,DN16 1LL,DN16,122.84,19.47,48.96,6.98,20.95,42.91,19.9,4.47,1.8,5.99,3.99,Female,Unknown,43.84,13.18,16.17,45.3,2
3616,Zero,55-60,Partner,Housewife,Retired,Own Home,"<27,500, >=25,000",No,No,1991,HTV,BS35 3TX,BS35,9.49,27.99,49.98,88.91,42.93,110.4,0.0,118.88,8.48,11.49,32.47,Female,South West,43.86,46.95,61.6,135.75,2
7736,Zero,45-50,Partner,Business Manager,Business Manager,Own Home,"<27,500, >=25,000",No,No,1978,Central,WR9 8RH,WR9,0.0,14.49,0.0,0.0,0.0,0.0,145.91,0.0,2.0,9.99,9.98,Female,West Midlands,2.9,27.98,24.65,58.01,2
5677,1,22-25,Partner,Housewife,Professional,Own Home,"<20,000, >=17,500",No,No,1997,Granada,PR8 6AQ,PR8,0.01,60.51,152.93,0.44,55.98,14.98,0.0,25.98,0.0,0.0,9.48,Female,North West,53.97,8.41,16.23,62.17,2
5057,Zero,45-50,Partner,Retired,Professional,Own Home,">=35,000",No,No,1984,Scottish TV,G62 6DW,G62,0.0,134.47,0.0,41.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,Scotland,35.19,0.0,6.91,47.41,2
1433,1,22-25,Partner,Secretarial/Admin,Unknown,Own Home,"<25,000, >=22,500",No,Yes,1994,Granada,WA12 9YR,WA12,47.97,0.51,181.92,125.92,43.95,81.95,109.42,47.96,0.0,0.0,92.39,Female,North West,80.05,55.29,68.2,195.28,2
9249,3,41-45,Partner,Manual Worker,Unknown,Own Home,">=35,000",Yes,No,1985,Anglia,NN14 4BW,NN14,19.49,0.0,0.0,22.46,27.96,0.0,0.0,0.0,2.0,0.0,0.0,Male,East Midlands,13.98,0.33,8.74,69.94,2
6913,2,31-35,Partner,Manual Worker,Professional,Own Home,"<25,000, >=22,500",No,No,1987,Carlton,WA9 2JY,WA9,0.0,0.0,0.0,0.0,9.98,0.0,0.0,29.48,0.0,0.0,0.0,Female,North West,2.0,4.91,6.58,-2.67,2
9298,Zero,45-50,Partner,Secretarial/Admin,Unknown,Own Home,"<17,500, >=15,000",No,No,1990,Tyne Tees,HG1 2DP,HG1,0.0,0.0,94.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,Unknown,18.89,0.0,0.0,23.08,2
1164,3,36-40,Partner,Unknown,Unknown,Own Home,"<25,000, >=22,500",No,Yes,1986,Grampian,ZE2 9DD,ZE2,0.0,94.92,0.0,72.95,9.48,41.94,0.0,0.0,12.46,0.0,0.0,Female,Scotland,35.47,9.07,22.81,101.59,2
5834,2,36-40,Partner,Housewife,Professional,Own Home,">=35,000",No,No,1997,Granada,BB7 2BQ,BB7,0.0,35.97,0.0,23.0,0.0,9.99,0.0,0.0,0.0,0.0,0.0,Female,North West,11.79,1.67,5.5,28.88,2
845,Zero,51-55,Partner,Secretarial/Admin,Business Manager,Own Home,"<27,500, >=25,000",No,No,1995,Scottish TV,EH54 9ER,EH54,0.0,86.97,0.0,65.97,0.0,0.0,32.98,42.97,0.0,3.24,0.0,Female,Scotland,30.59,13.2,23.65,95.48,2
4717,1,45-50,Partner,Manual Worker,Housewife,Own Home,"<30,000, >=27,500",No,No,1972,Carlton,HA1 1QN,HA1,0.0,0.0,0.0,20.01,0.0,0.0,1.99,0.0,0.0,7.48,0.0,Male,South East,4.0,1.58,3.67,28.92,2
4520,1,41-45,Widowed,Housewife,Unknown,Own Home,"< 8,000, >= 4,000",No,No,1988,Yorkshire,HU11 4EW,HU11,0.0,99.96,0.0,89.44,10.99,14.98,32.97,33.47,3.5,0.0,0.0,Female,Unknown,40.08,14.15,30.89,101.45,2
6346,2,36-40,Partner,Secretarial/Admin,Secretarial/Admin,Own Home,"<25,000, >=22,500",Yes,No,1989,Grampian,AB41 8QE,AB41,104.47,149.47,1.03,220.88,0.0,51.45,111.42,33.47,0.0,0.0,0.0,Female,Scotland,95.17,32.72,69.54,135.77,2
2230,Zero,61-65,Partner,Unknown,Unknown,Own Home,"<17,500, >=15,000",No,Yes,1987,Central,CV23 8UG,CV23,0.0,97.47,44.99,214.86,9.49,60.42,0.0,78.96,19.49,0.0,14.99,Female,West Midlands,73.36,28.98,63.87,176.92,2
5848,Zero,61-65,Partner,Housewife,Manual Worker,Own Home,"<15,000, >=12,500",No,Yes,1954,Central,LE8 0NF,LE8,0.0,0.0,0.01,24.99,0.0,0.0,0.0,0.0,0.0,0.0,4.49,Female,East Midlands,5.0,0.75,4.17,25.04,2
395,Zero,61-65,Single/Never Married,Retired,Retired,Own Home,"< 8,000, >= 4,000",No,No,1983,TV South West,PL21 0JR,PL21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.99,Female,South West,0.0,2.33,0.0,-16.7,2
1724,2,51-55,Partner,Business Manager,Retired,Own Home,"<27,500, >=25,000",Yes,No,1988,Granada,PR9 7RL,PR9,0.0,22.97,43.45,46.98,31.98,92.39,6.99,13.47,0.0,9.98,0.0,Male,North West,29.08,20.47,31.97,67.41,2
8373,Zero,45-50,Partner,Professional,Other,Own Home,"<27,500, >=25,000",Yes,No,1979,Carlton,KT17 3EQ,KT17,0.0,0.0,0.0,25.99,0.0,0.0,72.94,0.0,0.0,0.0,0.0,Male,South East,5.2,12.16,16.49,65.05,2
